Mol     S1      S2
F1      2.30    -5.64
F2      1.01    4.69
F3      0.37    -2.81
F4      0.24    -2.08
F5      0.35    -0.74
F6      1.92    -3.66
F7      0.18    -7.97
F8      -0.55   -2.68
F9      0.28    -0.80
F10     -1.31   -0.74
F11     -0.89   -0.80
F12     1.37    -4.32
F13     1.43    0.65
F14     1.53    -2.86
F15     1.60    -7.16
F16     -1.06   -8.97
F17     2.23    -7.16
F18     1.11    -13.29
F19     0.46    -1.19
F20     -0.04   -5.88
F21     2.34    -7.16
F22     1.38    -0.16
F23     0.24    -5.72
F24     0.88    -1.47
F25     1.43    -4.61
F26     0.03    -3.21
F27     -3.61   -1.58
F28     -3.61   1.79
F29     -0.04   -2.98
F30     0.47    -0.84
F31     -2.29   -3.63
F32     1.33    -2.68
F33     -2.47   -5.27
F34     0.42    -1.41
F35     -1.64   -5.06
F36     -4.16   -3.86
F37     -4.21   -0.06
F38     -1.15   -5.51
F39     -4.24   -13.29
F40     -1.87   -1.68
F41     -2.12   -4.44
F42     1.10    -5.80
F43     1.58    -1.93
F44     -4.47   -13.29
F45     2.44    -13.29
F46     -0.58   -5.01
F47     -3.56   -0.55
F48     -1.45   -13.29
F49     -0.84   -4.24
F50     -2.04   -2.62
F51     0.72    -3.86
F52     -1.00   -9.97
F53     1.02    -2.70
F54     -3.22   -4.84
F55     -1.29   -5.21
F56     -3.61   -6.64
F57     -1.91   -0.69
F58     -2.98   -3.74
F59     -1.66   -3.99
F60     -2.51   -9.97
F61     2.51    -4.64
F62     0.46    -13.29
F63     -1.45   -2.67
F64     -2.28   -4.06
F65     -2.17   -2.86
F66     2.23    -1.37
F67     -2.28   -13.29
F68     -2.84   -1.60
F69     -1.66   -1.93
F70     -3.20   -5.97
F71     -3.97   -1.93
F72     -3.92   -5.80
F73     -0.50   -4.51
F74     -5.21   -9.97
F75     -2.84   -2.24
F76     -2.16   -4.97
F77     -0.99   -8.38
F78     -4.80   -2.68
F79     -1.81   -2.73
F80     -2.47   -8.97
F81     -2.58   -5.51
F82     1.49    1.79
F83     0.37    -2.11
F84     -3.17   -13.29
F85     -3.22   -5.88
F86     -3.57   -6.06
F87     -4.47   -0.60
F88     -3.37   -0.56
F89     -3.12   -6.16
F90     -4.16   -13.29
F91     -2.22   -3.86
F92     -5.38   -2.23
F93     -2.20   -3.59
F94     -1.80   -13.29
F95     -3.61   0.19
F96     -2.83   -6.27
F97     -1.62   -5.27
F98     -1.03   -5.97
F99     -6.38   0.69
F100    -3.78   -7.97
F101    -3.84   -4.11
F102    -3.59   -4.88
F103    -4.06   -5.27
F104    -3.59   -5.97
F105    -13.29  2.62
F106    -13.29  0.59
F107    -13.29  -2.76
F108    -13.29  -1.16
F109    -13.29  1.91
F110    -13.29  0.93
F111    -13.29  -1.50
F112    -13.29  -1.87
F113    -13.29  -2.95
F114    -13.29  -1.35
F115    -13.29  -6.06
F116    -13.29  -6.38
F117    -13.29  -4.80
F118    -13.29  -2.71
F119    -13.29  -4.68
F120    -13.29  -1.71
F121    -13.29  -2.91
F122    -13.29  0.11
F123    -13.29  -3.49
F124    -13.29  -2.97
F125    -13.29  -1.50
F126    -13.29  -2.23
F127    -13.29  -1.70
F128    -13.29  -6.27
F129    -13.29  -2.16
F130    -13.29  -4.04
F131    -13.29  -5.72
F132    -13.29  -6.64
F133    -13.29  -2.56
F134    -13.29  -4.44
F135    -13.29  -1.56
F136    -13.29  1.09
F137    -13.29  -4.68
F138    -13.29  -4.06
F139    -13.29  -1.80
F140    -13.29  -3.82
F141    -13.29  -1.74
F142    -13.29  -2.65
F143    -13.29  -0.93
F144    -13.29  -4.06
F145    -13.29  -5.27
F146    -13.29  -3.15
F147    -13.29  -3.15
F148    -13.29  -1.29
F149    -13.29  -5.21
F150    -13.29  -3.92
F151    -13.29  -3.47
F152    -13.29  -5.72
F153    -13.29  0.61
